"STATION","NAME","DATE","TMAX","TMIN"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-11","80","61"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-12","87","66"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-13","90","67"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-14","81","71"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-15","92","73"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-16","85","65"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-17","74","60"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-18","82","56"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-19","79","58"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-20","86","63"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-21","82","65"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-22","70","63"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-23","75","60"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-24","70","63"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-25","72","57"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-26","58","54"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-27","63","53"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-28","65","51"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-29","70","47"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-30","70","49"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-01","61","54"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-02","59","53"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-03","60","55"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-04","60","48"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-05","65","44"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-06","76","51"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-07","77","62"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-08","63","48"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-09","58","43"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-10","55","38"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-11","63","37"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-12","62","41"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-13","64","45"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-14","63","51"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-15","61","56"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-16","67","59"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-17","78","60"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-18","69","63"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-19","73","54"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-20","68","49"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-21","73","44"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-22","74","51"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-23","61","45"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-24","52","41"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-25","50","42"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-26","52","38"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-27","61","34"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-28","63","46"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-10-29","67","50"
