"TSF","species","height","low","high","scenario","Scenario","filter"
51,"Potr",2.49416007211509,2.28434482887765,2.70849703488874,"CPCRW_hare","Hare","All stands"
52,"Bene",12.1887389060873,10.2465853262824,13.9584309012179,"CPCRW_hare","Hare","All stands"
52,"Pigl",1.85503310772002,1.82878409371155,1.88115595099611,"CPCRW_hare","Hare","All stands"
52,"Pima",1.43809204721799,1.41488946456263,1.46174947427198,"CPCRW_hare","Hare","All stands"
52,"Potr",1.98475535488935,1.82355694033827,2.16015153472858,"CPCRW_hare","Hare","All stands"
53,"Bene",12.3153596828443,10.5344942586331,14.1202606688474,"CPCRW_hare","Hare","All stands"
53,"Pigl",1.85431473736203,1.8268285306099,1.88512566308206,"CPCRW_hare","Hare","All stands"
53,"Pima",1.50739889098949,1.47926926354156,1.53314608348732,"CPCRW_hare","Hare","All stands"
53,"Potr",1.89711704436527,1.74461573917317,2.0774424380977,"CPCRW_hare","Hare","All stands"
54,"Bene",12.4508026351758,10.58296063571,14.2781404984236,"CPCRW_hare","Hare","All stands"
54,"Pigl",1.87458424299386,1.84701113182459,1.90456103246659,"CPCRW_hare","Hare","All stands"
54,"Pima",1.53997036308695,1.51124938103989,1.56743633910081,"CPCRW_hare","Hare","All stands"
54,"Potr",1.74294833440621,1.59064420737976,1.90624100380007,"CPCRW_hare","Hare","All stands"
55,"Bene",12.5739520013373,10.7255876383525,14.3657848652451,"CPCRW_hare","Hare","All stands"
55,"Pigl",1.87919379382307,1.8499882441319,1.90717048505734,"CPCRW_hare","Hare","All stands"
55,"Pima",1.5746490341942,1.54916151608179,1.60344940225485,"CPCRW_hare","Hare","All stands"
55,"Potr",1.687867062719,1.54603244599772,1.84202259520327,"CPCRW_hare","Hare","All stands"
56,"Bene",12.6769628830451,10.840069329351,14.4206330377983,"CPCRW_hare","Hare","All stands"
56,"Pigl",1.90657816985783,1.8756199902764,1.93586661703935,"CPCRW_hare","Hare","All stands"
56,"Pima",1.60914156344039,1.58383905429721,1.63872984095676,"CPCRW_hare","Hare","All stands"
56,"Potr",1.6348138826616,1.50662635565783,1.7724921529552,"CPCRW_hare","Hare","All stands"
57,"Bene",12.4962915086297,10.4799052657769,14.4594813480249,"CPCRW_hare","Hare","All stands"
57,"Pigl",1.93311432308173,1.90094158131382,1.96508233942629,"CPCRW_hare","Hare","All stands"
57,"Pima",1.64572307304931,1.61793949208635,1.67412817138976,"CPCRW_hare","Hare","All stands"
57,"Potr",1.63421877092712,1.51964345898809,1.76719336401821,"CPCRW_hare","Hare","All stands"
58,"Bene",12.6207579816737,10.4771932510421,14.5483757018645,"CPCRW_hare","Hare","All stands"
58,"Pigl",1.95318156758044,1.92301958673722,1.98378559136478,"CPCRW_hare","Hare","All stands"
58,"Pima",1.67689529829003,1.6496043741455,1.70414446484066,"CPCRW_hare","Hare","All stands"
58,"Potr",1.66343349364746,1.54932815868979,1.79041860508864,"CPCRW_hare","Hare","All stands"
59,"Bene",12.7586374650894,10.6597294344259,14.6722894226937,"CPCRW_hare","Hare","All stands"
59,"Pigl",1.97527207432447,1.94419051520117,2.0084925451967,"CPCRW_hare","Hare","All stands"
59,"Pima",1.70236348254961,1.67362385709537,1.7313569596262,"CPCRW_hare","Hare","All stands"
59,"Potr",1.70100703052454,1.58895653021477,1.81830543208913,"CPCRW_hare","Hare","All stands"
60,"Bene",13.2621731844944,11.4471734107257,14.9200460345027,"CPCRW_hare","Hare","All stands"
60,"Pigl",2.00334366183043,1.9729540827452,2.03919927170476,"CPCRW_hare","Hare","All stands"
60,"Pima",1.73804868266512,1.70920330373301,1.76708764841689,"CPCRW_hare","Hare","All stands"
60,"Potr",1.73499615746986,1.63047316449422,1.85000140965746,"CPCRW_hare","Hare","All stands"
61,"Bene",13.3620278914727,11.3393845957611,15.184330497065,"CPCRW_hare","Hare","All stands"
61,"Pigl",2.02422779453248,1.98965323337085,2.05858567368735,"CPCRW_hare","Hare","All stands"
61,"Pima",1.76700459362003,1.73889249492046,1.79577975657974,"CPCRW_hare","Hare","All stands"
61,"Potr",1.76053438453761,1.66166319326078,1.87193713190978,"CPCRW_hare","Hare","All stands"
62,"Bene",13.4733217022292,11.5427239788624,15.206143947279,"CPCRW_hare","Hare","All stands"
62,"Pigl",2.03316230305738,2.00219561547013,2.0676506788824,"CPCRW_hare","Hare","All stands"
62,"Pima",1.7896167355705,1.76114696074765,1.81608211528936,"CPCRW_hare","Hare","All stands"
62,"Potr",1.76263039269631,1.66553186791694,1.86379657649077,"CPCRW_hare","Hare","All stands"
63,"Bene",13.5986035016192,11.6752451567926,15.419135974634,"CPCRW_hare","Hare","All stands"
63,"Pigl",2.02954189905333,1.99510220933436,2.06642052876169,"CPCRW_hare","Hare","All stands"
63,"Pima",1.81290001230234,1.78568368282311,1.84308939778315,"CPCRW_hare","Hare","All stands"
63,"Potr",1.79779076466534,1.70079594323204,1.89626322585027,"CPCRW_hare","Hare","All stands"
64,"Bene",13.7235887606105,11.8294210863294,15.550999743862,"CPCRW_hare","Hare","All stands"
64,"Pigl",2.03155163267435,1.9967630521483,2.06640265807273,"CPCRW_hare","Hare","All stands"
64,"Pima",1.82996652169228,1.80262541752026,1.85840782497708,"CPCRW_hare","Hare","All stands"
64,"Potr",1.82059608746509,1.73161991137868,1.92117768536921,"CPCRW_hare","Hare","All stands"
65,"Bene",14.0808370670673,11.492917170525,16.4294739013239,"CPCRW_hare","Hare","All stands"
65,"Pigl",2.03937350352158,2.00436689576799,2.07631603813511,"CPCRW_hare","Hare","All stands"
65,"Pima",1.83867570886644,1.80862039314433,1.86842331996534,"CPCRW_hare","Hare","All stands"
65,"Potr",1.78450871969577,1.69850057028839,1.88058605596939,"CPCRW_hare","Hare","All stands"
66,"Bene",14.1738170749357,11.6560462674002,16.3329978078757,"CPCRW_hare","Hare","All stands"
66,"Pigl",2.01869111014898,1.98082117789871,2.05678413483116,"CPCRW_hare","Hare","All stands"
66,"Pima",1.88524028755437,1.85362410663353,1.91505016895956,"CPCRW_hare","Hare","All stands"
66,"Potr",1.8027292537379,1.71860545766401,1.88725499258337,"CPCRW_hare","Hare","All stands"
67,"Bene",14.3222429594508,11.6820769801598,16.5855812118009,"CPCRW_hare","Hare","All stands"
67,"Pigl",2.01470783897316,1.9771340545161,2.05255568558254,"CPCRW_hare","Hare","All stands"
67,"Pima",1.88611748990815,1.85582886529639,1.91693425058227,"CPCRW_hare","Hare","All stands"
67,"Potr",1.78172471461177,1.70203435335636,1.86819354210567,"CPCRW_hare","Hare","All stands"
68,"Bene",14.8153964438859,12.5209103743674,16.9539605611826,"CPCRW_hare","Hare","All stands"
68,"Pigl",2.03558292847322,1.99530098299932,2.08213452292374,"CPCRW_hare","Hare","All stands"
68,"Pima",1.94278078502713,1.90815228335806,1.97730065085886,"CPCRW_hare","Hare","All stands"
68,"Potr",1.81581308357899,1.7310436102229,1.90261681004544,"CPCRW_hare","Hare","All stands"
69,"Bene",14.8967914318337,12.4057833549585,16.933935677304,"CPCRW_hare","Hare","All stands"
